diet,sex,order,hour,emmean,SE,df,lower.CL,upper.CL
PR,M,1,7,3.285714286,0.957301603,623.9677394,1.405791094,5.165637477
NR,F,2,7,2.595238095,0.957301603,623.9677394,0.715314904,4.475161287
PR,F,2,7,1.880952381,0.957301603,623.9677394,0.001029189,3.760875572
NR,M,2,7,3.80952381,0.957301603,623.9677394,1.929600618,5.689447001
PR,M,2,7,3.30952381,0.957301603,623.9677394,1.429600618,5.189447001
NR,F,1,8,3.714285714,1.048671364,623.9677394,1.654933038,5.773638391
PR,F,1,8,2.828571429,1.048671364,623.9677394,0.769218752,4.887924105
NR,M,1,8,4.333333333,0.957301603,623.9677394,2.453410142,6.213256525
PR,M,1,8,3.380952381,0.957301603,623.9677394,1.501029189,5.260875572
NR,F,2,8,3.976190476,0.957301603,623.9677394,2.096267285,5.856113668
PR,F,2,8,2.404761905,0.957301603,623.9677394,0.524838713,4.284685096
NR,M,2,8,3.285714286,0.957301603,623.9677394,1.405791094,5.165637477
PR,M,2,8,3.380952381,0.957301603,623.9677394,1.501029189,5.260875572
NR,F,1,9,3.942857143,1.048671364,623.9677394,1.883504466,6.00220982
PR,F,1,9,3.885714286,1.048671364,623.9677394,1.826361609,5.945066962
NR,M,1,9,3.857142857,0.957301603,623.9677394,1.977219666,5.737066049
PR,M,1,9,4.380952381,0.957301603,623.9677394,2.501029189,6.260875572
NR,F,2,9,3.785714286,0.957301603,623.9677394,1.905791094,5.665637477
PR,F,2,9,3.5,0.957301603,623.9677394,1.620076808,5.379923192
NR,M,2,9,2.571428571,0.957301603,623.9677394,0.69150538,4.451351763
PR,M,2,9,4.023809524,0.957301603,623.9677394,2.143886332,5.903732715
NR,F,1,10,5.628571429,1.048671364,623.9677394,3.569218752,7.687924105
PR,F,1,10,4.085714286,1.048671364,623.9677394,2.026361609,6.145066962
NR,M,1,10,5.214285714,0.957301603,623.9677394,3.334362523,7.094208906
PR,M,1,10,4.904761905,0.957301603,623.9677394,3.024838713,6.784685096
NR,F,2,10,3.761904762,0.957301603,623.9677394,1.88198157,5.641827953
PR,F,2,10,2.976190476,0.957301603,623.9677394,1.096267285,4.856113668
NR,M,2,10,4.071428571,0.957301603,623.9677394,2.19150538,5.951351763
PR,M,2,10,4.523809524,0.957301603,623.9677394,2.643886332,6.403732715
NR,F,1,11,7.257142857,1.048671364,623.9677394,5.19779018,9.316495534
PR,F,1,11,5.914285714,1.048671364,623.9677394,3.854933038,7.973638391
NR,M,1,11,6.523809524,0.957301603,623.9677394,4.643886332,8.403732715
PR,M,1,11,6.785714286,0.957301603,623.9677394,4.905791094,8.665637477
NR,F,2,11,5.714285714,0.957301603,623.9677394,3.834362523,7.594208906
PR,F,2,11,5.023809524,0.957301603,623.9677394,3.143886332,6.903732715
NR,M,2,11,6.69047619,0.957301603,623.9677394,4.810552999,8.570399382
PR,M,2,11,5.30952381,0.957301603,623.9677394,3.429600618,7.189447001
NR,F,1,12,10.65714286,1.048671364,623.9677394,8.59779018,12.71649553
PR,F,1,12,9.8,1.048671364,623.9677394,7.740647323,11.85935268
NR,M,1,12,9.666666667,0.957301603,623.9677394,7.786743475,11.54658986
PR,M,1,12,9.357142857,0.957301603,623.9677394,7.477219666,11.23706605
NR,F,2,12,11.02380952,0.957301603,623.9677394,9.143886332,12.90373272
PR,F,2,12,10.21428571,0.957301603,623.9677394,8.334362523,12.09420891
NR,M,2,12,9.19047619,0.957301603,623.9677394,7.310552999,11.07039938
PR,M,2,12,9.738095238,0.957301603,623.9677394,7.858172047,11.61801843
NR,F,1,13,12.91428571,1.048671364,623.9677394,10.85493304,14.97363839
PR,F,1,13,13.68571429,1.048671364,623.9677394,11.62636161,15.74506696
NR,M,1,13,11.76190476,0.957301603,623.9677394,9.88198157,13.64182795
PR,M,1,13,14.54761905,0.957301603,623.9677394,12.66769586,16.42754224
NR,F,2,13,17.95238095,0.957301603,623.9677394,16.07245776,19.83230414
PR,F,2,13,16,0.957301603,623.9677394,14.12007681,17.87992319
NR,M,2,13,17.71428571,0.957301603,623.9677394,15.83436252,19.59420891
PR,M,2,13,14.69047619,0.957301603,623.9677394,12.810553,16.57039938
NR,F,1,14,16.65714286,1.048671364,623.9677394,14.59779018,18.71649553
PR,F,1,14,15.85714286,1.048671364,623.9677394,13.79779018,17.91649553
NR,M,1,14,16.0952381,0.957301603,623.9677394,14.2153149,17.97516129
PR,M,1,14,16.33333333,0.957301603,623.9677394,14.45341014,18.21325652
NR,F,2,14,17.26190476,0.957301603,623.9677394,15.38198157,19.14182795
PR,F,2,14,16.76190476,0.957301603,623.9677394,14.88198157,18.64182795
NR,M,2,14,21.5952381,0.957301603,623.9677394,19.7153149,23.47516129
PR,M,2,14,16.88095238,0.957301603,623.9677394,15.00102919,18.76087557
NR,F,1,15,14.85714286,1.048671364,623.9677394,12.79779018,16.91649553
PR,F,1,15,17.77142857,1.048671364,623.9677394,15.71207589,19.83078125
NR,M,1,15,16.88095238,0.957301603,623.9677394,15.00102919,18.76087557
PR,M,1,15,14.83333333,0.957301603,623.9677394,12.95341014,16.71325652
NR,F,2,15,17.5,0.957301603,623.9677394,15.62007681,19.37992319
PR,F,2,15,16.69047619,0.957301603,623.9677394,14.810553,18.57039938
NR,M,2,15,20,0.957301603,623.9677394,18.12007681,21.87992319
PR,M,2,15,17.35714286,0.957301603,623.9677394,15.47721967,19.23706605
NR,F,1,16,15.34285714,1.048671364,623.9677394,13.28350447,17.40220982
PR,F,1,16,15.17142857,1.048671364,623.9677394,13.11207589,17.23078125
NR,M,1,16,14.64285714,0.957301603,623.9677394,12.76293395,16.52278033
PR,M,1,16,13.9047619,0.957301603,623.9677394,12.02483871,15.7846851
NR,F,2,16,17.19047619,0.957301603,623.9677394,15.310553,19.07039938
PR,F,2,16,16.45238095,0.957301603,623.9677394,14.57245776,18.33230414
NR,M,2,16,19.69047619,0.957301603,623.9677394,17.810553,21.57039938
PR,M,2,16,17.16666667,0.957301603,623.9677394,15.28674348,19.04658986
NR,F,1,17,13.68571429,1.048671364,623.9677394,11.62636161,15.74506696
PR,F,1,17,13.2,1.048671364,623.9677394,11.14064732,15.25935268
NR,M,1,17,13.02380952,0.957301603,623.9677394,11.14388633,14.90373272
PR,M,1,17,12.07142857,0.957301603,623.9677394,10.19150538,13.95135176
NR,F,2,17,14.85714286,0.957301603,623.9677394,12.97721967,16.73706605
PR,F,2,17,13.92857143,0.957301603,623.9677394,12.04864824,15.80849462
NR,M,2,17,18.47619048,0.957301603,623.9677394,16.59626728,20.35611367
PR,M,2,17,15.88095238,0.957301603,623.9677394,14.00102919,17.76087557
NR,F,1,18,10.71428571,1.048671364,623.9677394,8.654933038,12.77363839
PR,F,1,18,14.25714286,1.048671364,623.9677394,12.19779018,16.31649553
NR,M,1,18,12.30952381,0.957301603,623.9677394,10.42960062,14.189447
PR,M,1,18,11.5952381,0.957301603,623.9677394,9.715314904,13.47516129
NR,F,2,18,12.78571429,0.957301603,623.9677394,10.90579109,14.66563748
PR,F,2,18,13.97619048,0.957301603,623.9677394,12.09626728,15.85611367
NR,M,2,18,14.88095238,0.957301603,623.9677394,13.00102919,16.76087557
PR,M,2,18,13.69047619,0.957301603,623.9677394,11.810553,15.57039938
NR,F,1,19,9.257142857,1.048671364,623.9677394,7.19779018,11.31649553
PR,F,1,19,10.68571429,1.048671364,623.9677394,8.626361609,12.74506696
NR,M,1,19,8.142857143,0.957301603,623.9677394,6.262933951,10.02278033
PR,M,1,19,8.238095238,0.957301603,623.9677394,6.358172047,10.11801843
NR,F,2,19,8.976190476,0.957301603,623.9677394,7.096267285,10.85611367
PR,F,2,19,10.04761905,0.957301603,623.9677394,8.167695856,11.92754224
NR,M,2,19,9.261904762,0.957301603,623.9677394,7.38198157,11.14182795
PR,M,2,19,10.42857143,0.957301603,623.9677394,8.548648237,12.30849462
NR,F,1,20,7.314285714,1.048671364,623.9677394,5.254933038,9.373638391
PR,F,1,20,9.8,1.048671364,623.9677394,7.740647323,11.85935268
NR,M,1,20,7.261904762,0.957301603,623.9677394,5.38198157,9.141827953
PR,M,1,20,9.119047619,0.957301603,623.9677394,7.239124428,10.99897081
NR,F,2,20,5.428571429,0.957301603,623.9677394,3.548648237,7.30849462
PR,F,2,20,7.214285714,0.957301603,623.9677394,5.334362523,9.094208906
NR,M,2,20,9.047619048,0.957301603,623.9677394,7.167695856,10.92754224
PR,M,2,20,7.928571429,0.957301603,623.9677394,6.048648237,9.80849462
NR,F,1,21,5.971428571,1.048671364,623.9677394,3.912075895,8.030781248
PR,F,1,21,7.228571429,1.048671364,623.9677394,5.169218752,9.287924105
NR,M,1,21,7.238095238,0.957301603,623.9677394,5.358172047,9.11801843
PR,M,1,21,6.452380952,0.957301603,623.9677394,4.572457761,8.332304144
NR,F,2,21,6.142857143,0.957301603,623.9677394,4.262933951,8.022780334
PR,F,2,21,7.5,0.957301603,623.9677394,5.620076808,9.379923192
NR,M,2,21,7.666666667,0.957301603,623.9677394,5.786743475,9.546589858
PR,M,2,21,7.619047619,0.957301603,623.9677394,5.739124428,9.498970811
NR,F,1,22,9.657142857,1.048671364,623.9677394,7.59779018,11.71649553
PR,F,1,22,6.714285714,1.048671364,623.9677394,4.654933038,8.773638391
NR,M,1,22,4.952380952,0.957301603,623.9677394,3.072457761,6.832304144
PR,M,1,22,6.976190476,0.957301603,623.9677394,5.096267285,8.856113668
NR,F,2,22,8.857142857,0.957301603,623.9677394,6.977219666,10.73706605
PR,F,2,22,7.5,0.957301603,623.9677394,5.620076808,9.379923192
NR,M,2,22,7.095238095,0.957301603,623.9677394,5.215314904,8.975161287
PR,M,2,22,7.952380952,0.957301603,623.9677394,6.072457761,9.832304144
NR,F,1,23,9.542857143,1.048671364,623.9677394,7.483504466,11.60220982
PR,F,1,23,11.17142857,1.048671364,623.9677394,9.112075895,13.23078125
NR,M,1,23,10.66666667,0.957301603,623.9677394,8.786743475,12.54658986
PR,M,1,23,7.738095238,0.957301603,623.9677394,5.858172047,9.61801843
NR,F,2,23,11.47619048,0.957301603,623.9677394,9.596267285,13.35611367
PR,F,2,23,11.64285714,0.957301603,623.9677394,9.762933951,13.52278033
NR,M,2,23,10.0952381,0.957301603,623.9677394,8.215314904,11.97516129
PR,M,2,23,10.04761905,0.957301603,623.9677394,8.167695856,11.92754224
