fedfile,mouse,diet,mode,sex ,order
FED004_051222_02.CSV,FEDXA08,RICH,ECO,M,1
FED008_042322_00.CSV,FEDXA08,GRAIN,FF,M,1
FED008_042622_00.CSV,FEDXA08,NR,FF,M,1
FED008_050322_00.CSV,FEDXA08,PR,FF,M,1
FED008_051022_01.CSV,FEDXA08,PR,FR1,M,1
FED008_051122_02.CSV,FEDXA08,PR,FR1R,M,1
FED005_051222_02.CSV,FEDXA09,PR,ECO,M,1
FED006_051222_03.CSV,FEDXA09,RICH,ECO,M,1
FED009_042322_00.CSV,FEDXA09,GRAIN,FF,M,1
FED009_042622_00.CSV,FEDXA09,NR,FF,M,1
FED009_050322_00.CSV,FEDXA09,PR,FF,M,1
FED009_051022_02.CSV,FEDXA09,PR,FR1,M,1
FED009_051122_02.CSV,FEDXA09,PR,FR1R,M,1
FED007_051222_02.CSV,FEDXA10,PR,ECO,M,1
FED008_051222_02.CSV,FEDXA10,RICH,ECO,M,1
FED010_042322_00.CSV,FEDXA10,GRAIN,FF,M,1
FED010_042622_00.CSV,FEDXA10,NR,FF,M,1
FED010_050322_00.CSV,FEDXA10,PR,FF,M,1
FED010_051022_02.CSV,FEDXA10,PR,FR1,M,1
FED010_051122_03.CSV,FEDXA10,PR,FR1R,M,1
FED009_051222_02.CSV,FEDXA11,PR,ECO,M,1
FED010_051222_02.CSV,FEDXA11,RICH,ECO,M,1
FED011_042322_00.CSV,FEDXA11,GRAIN,FF,M,1
FED011_042622_00.CSV,FEDXA11,NR,FF,M,1
FED011_050322_00MERGED.CSV,FEDXA11,PR,FF,M,1
FED011_051022_01.CSV,FEDXA11,PR,FR1,M,1
FED011_051122_02.CSV,FEDXA11,PR,FR1R,M,1
FED011_051222_02.CSV,FEDXA12,PR,ECO,M,1
FED012_042322_00.CSV,FEDXA12,GRAIN,FF,M,1
FED012_042622_00.CSV,FEDXA12,NR,FF,M,1
FED012_050322_00MERGED.CSV,FEDXA12,PR,FF,M,1
FED012_051022_01.CSV,FEDXA12,PR,FR1,M,1
FED012_051122_01.CSV,FEDXA12,PR,FR1R,M,1
FED012_051222_02.CSV,FEDXA12,RICH,ECO,M,1
FED001_060222_00.CSV,FEDXB01,GRAIN,FF,F,2
FED001_060522_00.CSV,FEDXB01,PR,FF,F,2
FED001_061222_00.CSV,FEDXB01,NR,FF,F,2
FED002_060222_00.CSV,FEDXB02,GRAIN,FF,F,2
FED002_060522_00.CSV,FEDXB02,PR,FF,F,2
FED002_061222_00.CSV,FEDXB02,NR,FF,F,2
FED003_060222_00.CSV,FEDXB03,GRAIN,FF,F,2
FED003_060522_00.CSV,FEDXB03,PR,FF,F,2
FED003_061222_00.CSV,FEDXB03,NR,FF,F,2
FED004_060222_00.CSV,FEDXB04,GRAIN,FF,F,2
FED004_060522_00.CSV,FEDXB04,PR,FF,F,2
FED004_061222_00.CSV,FEDXB04,NR,FF,F,2
FED005_060222_00.CSV,FEDXB05,GRAIN,FF,F,2
FED005_060522_00.CSV,FEDXB05,PR,FF,F,2
FED005_061222_00.CSV,FEDXB05,NR,FF,F,2
FED006_060222_00.CSV,FEDXB06,GRAIN,FF,F,2
FED006_060522_00.CSV,FEDXB06,PR,FF,F,2
FED006_061222_01.CSV,FEDXB06,NR,FF,F,2
FED007_060222_00.CSV,FEDXB07,GRAIN,FF,F,1
FED007_060522_00.CSV,FEDXB07,NR,FF,F,1
FED007_061222_00.CSV,FEDXB07,PR,FF,F,1
FED008_060222_00.CSV,FEDXB08,GRAIN,FF,F,1
FED008_060522_00.CSV,FEDXB08,NR,FF,F,1
FED008_061222_00_MERGED.CSV,FEDXB08,PR,FF,F,1
FED010_060222_00.CSV,FEDXB10,GRAIN,FF,F,1
FED010_060522_00.CSV,FEDXB10,NR,FF,F,1
FED010_061222_00.CSV,FEDXB10,PR,FF,F,1
FED011_060222_00.CSV,FEDXB11,GRAIN,FF,F,1
FED011_060522_00.CSV,FEDXB11,NR,FF,F,1
FED011_061222_00.CSV,FEDXB11,PR,FF,F,1
FED012_060222_00.CSV,FEDXB12,GRAIN,FF,F,1
FED012_060522_00.CSV,FEDXB12,NR,FF,F,1
FED012_061222_00.CSV,FEDXB12,PR,FF,F,1
