"sex","hour","diet","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"F","10","NR","order",1,9,1.231,0.296,"",0.12,1
"F","10","PR","order",1,9,1.641,0.232,"",0.154,1
"M","10","NR","order",1,10,2.598,0.138,"",0.206,1
"M","10","PR","order",1,10,0.193,0.669,"",0.019,1
"F","11","NR","order",1,9,0.825,0.387,"",0.084,1
"F","11","PR","order",1,9,2.029,0.188,"",0.184,1
"M","11","NR","order",1,10,0.029,0.868,"",0.003,1
"M","11","PR","order",1,10,4.013,0.073,"",0.286,1
"F","12","NR","order",1,9,0.033,0.86,"",0.004,1
"F","12","PR","order",1,9,0.069,0.799,"",0.008,1
"M","12","NR","order",1,10,0.117,0.74,"",0.012,1
"M","12","PR","order",1,10,0.2,0.664,"",0.02,1
"F","13","NR","order",1,9,12.045,0.007,"*",0.572,0.658
"F","13","PR","order",1,9,1.928,0.198,"",0.176,1
"M","13","NR","order",1,10,17.927,0.002,"*",0.642,0.192
"M","13","PR","order",1,10,0.009,0.927,"",0.000872,1
"F","14","NR","order",1,9,0.345,0.572,"",0.037,1
"F","14","PR","order",1,9,0.411,0.537,"",0.044,1
"M","14","NR","order",1,10,7.901,0.018,"*",0.441,1
"M","14","PR","order",1,10,0.157,0.701,"",0.015,1
"F","15","NR","order",1,9,2.034,0.188,"",0.184,1
"F","15","PR","order",1,9,0.804,0.393,"",0.082,1
"M","15","NR","order",1,10,1.8,0.209,"",0.153,1
"M","15","PR","order",1,10,2.162,0.172,"",0.178,1
"F","16","NR","order",1,9,1.075,0.327,"",0.107,1
"F","16","PR","order",1,9,0.786,0.398,"",0.08,1
"M","16","NR","order",1,10,7.364,0.022,"*",0.424,1
"M","16","PR","order",1,10,6.231,0.032,"*",0.384,1
"F","17","NR","order",1,9,0.301,0.596,"",0.032,1
"F","17","PR","order",1,9,0.1,0.759,"",0.011,1
"M","17","NR","order",1,10,7.143,0.023,"*",0.417,1
"M","17","PR","order",1,10,11.029,0.008,"*",0.524,0.744
"F","18","NR","order",1,9,0.964,0.352,"",0.097,1
"F","18","PR","order",1,9,0.02,0.891,"",0.002,1
"M","18","NR","order",1,10,5.138,0.047,"*",0.339,1
"M","18","PR","order",1,10,0.949,0.353,"",0.087,1
"F","19","NR","order",1,9,0.022,0.884,"",0.002,1
"F","19","PR","order",1,9,0.173,0.687,"",0.019,1
"M","19","NR","order",1,10,0.614,0.451,"",0.058,1
"M","19","PR","order",1,10,1.908,0.197,"",0.16,1
"F","20","NR","order",1,9,1.423,0.263,"",0.137,1
"F","20","PR","order",1,9,2.133,0.178,"",0.192,1
"M","20","NR","order",1,10,1.824,0.207,"",0.154,1
"M","20","PR","order",1,10,1.178,0.303,"",0.105,1
"F","21","NR","order",1,9,0.02,0.891,"",0.002,1
"F","21","PR","order",1,9,0.021,0.887,"",0.002,1
"M","21","NR","order",1,10,0.14,0.716,"",0.014,1
"M","21","PR","order",1,10,0.556,0.473,"",0.053,1
"F","22","NR","order",1,9,0.263,0.62,"",0.028,1
"F","22","PR","order",1,9,0.396,0.545,"",0.042,1
"M","22","NR","order",1,10,2.477,0.147,"",0.199,1
"M","22","PR","order",1,10,0.516,0.489,"",0.049,1
"F","23","NR","order",1,9,1.059,0.33,"",0.105,1
"F","23","PR","order",1,9,0.066,0.802,"",0.007,1
"M","23","NR","order",1,10,0.212,0.655,"",0.021,1
"M","23","PR","order",1,10,3.002,0.114,"",0.231,1
