"sex","order","hour","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"F","2","1","diet",1,10,1.359,0.271,"",0.12,1
"F","2","2","diet",1,10,14.807,0.003,"*",0.597,0.267
"F","2","3","diet",1,10,0.839,0.381,"",0.077,1
"F","2","4","diet",1,10,2.238,0.166,"",0.183,1
"F","2","5","diet",1,10,0.51,0.491,"",0.049,1
"F","2","6","diet",1,10,0.372,0.556,"",0.036,1
"F","2","7","diet",1,10,3.333,0.098,"",0.25,1
"F","2","8","diet",1,10,0.911,0.362,"",0.083,1
"F","2","9","diet",1,10,1.8,0.209,"",0.153,1
"F","2","10","diet",1,10,6.098,0.033,"*",0.379,1
"F","2","11","diet",1,10,10.321,0.009,"*",0.508,0.738
"F","2","12","diet",1,10,8.191,0.017,"*",0.45,1
"F","2","13","diet",1,10,8.705,0.015,"*",0.465,1
"F","2","14","diet",1,10,9.446,0.012,"*",0.486,0.972
"F","2","15","diet",1,10,11.905,0.006,"*",0.543,0.504
"F","2","16","diet",1,10,15.921,0.003,"*",0.614,0.267
"F","2","17","diet",1,10,20.364,0.001,"*",0.671,0.092
"F","2","18","diet",1,10,15.217,0.003,"*",0.603,0.267
"F","2","19","diet",1,10,18.384,0.002,"*",0.648,0.18
"F","2","20","diet",1,10,4.459,0.061,"",0.308,1
"F","2","21","diet",1,10,3.551,0.089,"",0.262,1
"F","2","22","diet",1,10,12.64,0.005,"*",0.558,0.425
"F","2","23","diet",1,10,4.15,0.069,"",0.293,1
"M","2","0","diet",1,10,9.223,0.013,"*",0.48,1
"M","2","1","diet",1,10,13.986,0.004,"*",0.583,0.344
"M","2","2","diet",1,10,1.246,0.29,"",0.111,1
"M","2","3","diet",1,10,0.005,0.943,"",0.000531,1
"M","2","4","diet",1,10,5.102,0.047,"*",0.338,1
"M","2","5","diet",1,10,0.571,0.467,"",0.054,1
"M","2","6","diet",1,10,0.135,0.721,"",0.013,1
"M","2","7","diet",1,10,0.738,0.411,"",0.069,1
"M","2","8","diet",1,10,5.976,0.035,"*",0.374,1
"M","2","9","diet",1,10,1.337,0.274,"",0.118,1
"M","2","10","diet",1,10,5.102,0.047,"*",0.338,1
"M","2","11","diet",1,10,4.885,0.052,"",0.328,1
"M","2","12","diet",1,10,138.846,3.47e-07,"*",0.933,3.3312e-05
"M","2","13","diet",1,10,26.299,0.000445,"*",0.725,0.04183
"M","2","14","diet",1,10,28.251,0.00034,"*",0.739,0.0323
"M","2","15","diet",1,10,8.499,0.015,"*",0.459,1
"M","2","16","diet",1,10,5.962,0.035,"*",0.374,1
"M","2","17","diet",1,10,24.446,0.000583,"*",0.71,0.054219
"M","2","18","diet",1,10,8.618,0.015,"*",0.463,1
"M","2","19","diet",1,10,20.281,0.001,"*",0.67,0.092
"M","2","20","diet",1,10,2.555,0.141,"",0.204,1
"M","2","21","diet",1,10,2.443,0.149,"",0.196,1
"M","2","22","diet",1,10,4.63,0.057,"",0.316,1
"M","2","23","diet",1,10,6.846,0.026,"*",0.406,1
